AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0073150,MISTY,DOG,LIVER,WHITE,BRITTANY,FEMALE,2010-02-23,10 YEARS,2020-02-23,DEAD,DISPO REQ,OTC,DOA,2020-02-23,DISPOSAL,,DEAD,600 BLOCK  CAYUGA CT,SAN JOSE,2020-02-23
A0327932,HARLEE,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,2001-08-20,18 YEARS,2019-10-15,DEAD,DISPO REQ,FIELD,,2019-10-15,DISPOSAL,,UNHEALTHY,SUPREME X SESAME,SAN JOSE,2019-11-04
A0364521,BUDDY,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2002-10-28,23 YEARS,2019-11-20,OTHER MED,STRAY,OTC,,2019-11-20,RTO,,UNHEALTHY,"500 BLOCK DANA AVE, SAN JOSE CA 95128",SAN JOSE,2019-11-20
A0399232,DYLAN,CAT,BLACK,,DOMESTIC SH,NEUTERED,2003-07-09,16 YEARS,2020-05-03,DEAD,DISPO REQ,OTC,,2020-05-03,DISPOSAL,,DEAD,2300 BLOCK CORY AVE,SAN JOSE,2020-05-03
A0413895,ISABEL,DOG,WHITE,,MALTESE,SPAYED,2003-08-03,17 YEARS,2019-12-29,NORMAL,STRAY,FIELD,,2019-12-31,RTO,,MANAGE,PIEDMONTX HALF PENCE,SAN JOSE,2019-12-31
A0444945,PRINCESS,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2003-12-29,15 YEARS,2019-10-02,DEAD,DISPO REQ,OTC,,2019-10-02,DISPOSAL,,DEAD,,SAN JOSE,2019-10-02
A0449457,LUCKY,DOG,YELLOW,BROWN,CHIHUAHUA SH,NEUTERED,2004-05-10,15 YEARS,2019-10-03,DEAD,DISPO REQ,OTC,,2019-10-03,DISPOSAL,,DEAD,,SAN JOSE,2019-10-03
A0449667,TOFU,DOG,BLACK,,PUG,NEUTERED,2004-02-01,15 YEARS,2019-10-08,DEAD,DISPO REQ,OTC,,2019-10-08,DISPOSAL,,DEAD,,,2019-10-08
A0458472,MUFFIN,DOG,TAN,,CHIHUAHUA SH,SPAYED,2004-02-16,16 YEARS,2020-02-05,DEAD,DISPO REQ,FIELD,,2020-02-05,DISPOSAL,,DEAD,COTTLE/ HAYES,SAN JOSE,2020-02-05
A0460159,TOBY,DOG,BLACK,,CHIHUAHUA SH,MALE,2004-10-03,14 YEARS,2019-07-02,DEAD,DISPO REQ,OTC,,2019-07-02,DISPOSAL,,DEAD,,,2019-07-02
